,date,value
645,2022-07-30 19:41:47.391758,5111.0
646,2022-07-30 19:42:03.510061,5504.0
647,2022-07-30 19:42:12.950788,5117.0
648,2022-07-30 19:42:17.391639,5279.0
649,2022-07-30 19:42:27.548733,5533.0
650,2022-07-30 19:42:37.435449,5562.0
651,2022-07-30 19:42:47.394508,5318.0
652,2022-07-30 19:42:49.622399,5118.0
653,2022-07-30 19:43:08.587263,5444.0
654,2022-07-30 19:43:11.560059,5033.0
655,2022-07-30 19:43:17.367430,5063.0
656,2022-07-30 19:43:30.375312,5322.0
657,2022-07-30 19:43:33.416443,5563.0
658,2022-07-30 19:43:50.042339,5627.0
659,2022-07-30 19:43:52.996916,4947.0
660,2022-07-30 19:43:58.128494,5060.0
661,2022-07-30 19:44:00.318872,5370.0
662,2022-07-30 19:44:03.720062,5350.0
663,2022-07-30 19:44:08.555927,5233.0
664,2022-07-30 19:44:11.706502,5034.0
665,2022-07-30 19:44:15.997013,5438.0
666,2022-07-30 19:44:18.240386,5764.0
667,2022-07-30 19:44:20.437076,5624.0
668,2022-07-30 19:44:22.575404,5376.0
669,2022-07-30 19:44:28.311221,5202.0
670,2022-07-30 19:44:31.331753,5480.0
671,2022-07-30 19:44:33.520185,5495.0
672,2022-07-30 19:44:40.968695,5775.0
673,2022-07-30 19:44:43.959413,5339.0
674,2022-07-30 19:44:48.482130,5083.0
675,2022-07-30 19:44:52.045362,5576.0
676,2022-07-30 19:44:54.376956,5046.0
677,2022-07-30 19:44:56.565451,5234.0
678,2022-07-30 19:45:01.050639,5513.0
679,2022-07-30 19:45:06.671618,5658.0
680,2022-07-30 19:45:09.766763,5757.0
681,2022-07-30 19:45:11.995499,5069.0
682,2022-07-30 19:45:17.888715,5183.0
683,2022-07-30 19:45:23.656271,5722.0
684,2022-07-30 19:45:29.181611,5407.0
685,2022-07-30 19:45:40.150815,5262.0
686,2022-07-30 19:45:43.683541,4966.0
687,2022-07-30 19:45:46.855830,5187.0
688,2022-07-30 19:45:49.818146,5559.0
689,2022-07-30 19:45:53.151413,5079.0
690,2022-07-30 19:45:55.539624,5107.0
691,2022-07-30 19:45:57.885240,5135.0
692,2022-07-30 19:46:00.923789,5128.0
693,2022-07-30 19:46:03.129188,5554.0
694,2022-07-30 19:46:05.300800,5627.0
695,2022-07-30 19:46:13.093450,5025.0
696,2022-07-30 19:46:15.616584,5341.0
697,2022-07-30 19:46:17.931381,5271.0
698,2022-07-30 19:46:20.143472,4897.0
699,2022-07-30 19:46:29.901728,4944.0
700,2022-07-30 19:46:34.430560,4819.0
701,2022-07-30 19:46:36.568823,5107.0
702,2022-07-30 19:46:48.974561,5329.0
703,2022-07-30 19:46:51.948360,5243.0
704,2022-07-30 19:47:04.092791,5296.0
705,2022-07-30 19:47:11.525960,5375.0
706,2022-07-30 19:47:14.622041,4912.0
707,2022-07-30 19:47:17.867026,5085.0
708,2022-07-30 19:47:23.094765,4892.0
709,2022-07-30 19:47:26.354633,4987.0
710,2022-07-30 19:47:29.304924,5095.0
711,2022-07-30 19:47:31.475261,4927.0
712,2022-07-30 19:47:33.890315,4825.0
713,2022-07-30 19:47:36.963778,5122.0
714,2022-07-30 19:47:40.445806,5446.0
715,2022-07-30 19:47:42.686888,4969.0
716,2022-07-30 19:47:46.056611,5151.0
717,2022-07-30 19:47:48.171272,4772.0
718,2022-07-30 19:47:51.284064,4960.0
719,2022-07-30 19:47:54.200815,5366.0
720,2022-07-30 19:47:58.618164,5256.0
721,2022-07-30 19:48:07.279186,4999.0
