text,username,timestamp,message_id,channel_id,stream_id,unique_id,category,sentiment_a,sentiment_g,sentiment_v,sentiment_anders, 
legit,samrudi,"2022-06-12 14:06:02,524",84,D,1,84D1,among_us,,,,,
thats kinda funny lmao,lady_leia,"2022-06-12 14:06:02,812",85,D,1,85D1,among_us,,,,,
hey i am gonna light you KEKW,therealgreatmaster,"2022-06-12 14:06:02,850",86,D,1,86D1,among_us,,,,,
LMAOO,leonhnn,"2022-06-12 14:06:03,050",87,D,1,87D1,among_us,,,,,
It adds randomness,albiwishnom,"2022-06-12 14:06:03,090",88,D,1,88D1,among_us,,,,,
GIGACHAD lighter,hycetec,"2022-06-12 14:06:03,328",89,D,1,89D1,among_us,,,,,
Sykkuno!!!,lightsparks54,"2022-06-12 14:06:03,558",90,D,1,90D1,among_us,,,,,
seer snitch or timemaster i think  toast,blkdamon18,"2022-06-12 14:06:03,597",91,D,1,91D1,among_us,,,,,
Loool,supervillain__,"2022-06-12 14:06:03,669",92,D,1,92D1,among_us,,,,,
WICKED,jurgen___,"2022-06-12 14:06:03,718",93,D,1,93D1,among_us,,,,,
KEKW 󠀀,twinblaze1213,"2022-06-12 14:06:03,793",94,D,1,94D1,among_us,,,,,
well its something KEKW,jessefire144444,"2022-06-12 14:06:04,488",95,D,1,95D1,among_us,,,,,
Secruity guard or Portal maker ...,yaraz_,"2022-06-12 14:06:04,530",96,D,1,96D1,among_us,,,,,
Hell yeah,ec0l,"2022-06-12 14:06:04,639",97,D,1,97D1,among_us,,,,,
I think the vulture could be really good,keyfow,"2022-06-12 14:06:04,676",98,D,1,98D1,among_us,,,,,
Ninja,airmuris,"2022-06-12 14:06:04,786",99,D,1,99D1,among_us,,,,,
lighter guy is lit! Pog,melachromatic,"2022-06-12 14:06:04,831",100,D,1,100D1,among_us,,,,,
OMEGALUL,mkii_micro,"2022-06-12 14:06:04,893",101,D,1,101D1,among_us,,,,,
Lighter lets go,momeka,"2022-06-12 14:06:05,065",102,D,1,102D1,among_us,,,,,
KEKW,its_shiroi,"2022-06-12 14:06:05,120",103,D,1,103D1,among_us,,,,,
"that's hilarious tho
""
",masontheartist,"2022-06-12 14:06:05,158",104,D,1,104D1,among_us,,,,,
DO IT,neverdone05,"2022-06-12 14:06:05,317",105,D,1,105D1,among_us,,,,,
can you add new imposter roles pls?,animefanxd123,"2022-06-12 14:06:05,359",106,D,1,106D1,among_us,,,,,
LOL pretty cool,crackeerr,"2022-06-12 14:06:05,482",107,D,1,107D1,among_us,,,,,
thats lame lmao,bllh1423,"2022-06-12 14:06:05,705",108,D,1,108D1,among_us,,,,,
BRING HIM IN COACH!,lukewarm_leaf_soup,"2022-06-12 14:06:05,995",109,D,1,109D1,among_us,,,,,
He can get Evil Guessed LUL,m0rtalgm,"2022-06-12 14:06:06,064",110,D,1,110D1,among_us,,,,,
oof,graveyard_haunting,"2022-06-12 14:06:06,195",111,D,1,111D1,among_us,,,,,
KEKW,iyunuw,"2022-06-12 14:06:06,477",112,D,1,112D1,among_us,,,,,
BALANCED,randomjayyy,"2022-06-12 14:06:06,530",113,D,1,113D1,among_us,,,,,
!roles,gongfugin,"2022-06-12 14:06:06,530",114,D,1,114D1,among_us,,,,,
Vet?,drduckling_,"2022-06-12 14:06:06,606",115,D,1,115D1,among_us,,,,,
deputy keeps handcuffs when promoted is op,ew_desperado,"2022-06-12 14:06:06,646",116,D,1,116D1,among_us,,,,,
Do seer,matthewverbeek,"2022-06-12 14:06:06,706",117,D,1,117D1,among_us,,,,,
Type !(witch/warlock/jackal/lawyer/jester/engineer/hacker/portalmaker/swapper/sheriff/securityguard/arsonist/medic/mayor) to get specific role abilities or check out this website for full list: https://github.com/Eisbison/TheOtherRoles,streamelements,"2022-06-12 14:06:06,784",118,D,1,118D1,among_us,,,,,
Arsonist :D,bishops3,"2022-06-12 14:06:06,784",119,D,1,119D1,among_us,,,,,
@disguisedtoast  the thing to vote a guy,nanapoposao,"2022-06-12 14:06:06,908",120,D,1,120D1,among_us,,,,,
KEKW,duckienono,"2022-06-12 14:06:06,949",121,D,1,121D1,among_us,,,,,
Lighter,ec0l,"2022-06-12 14:06:07,016",122,D,1,122D1,among_us,,,,,
SNITCH,hunnbunn,"2022-06-12 14:06:07,091",123,D,1,123D1,among_us,,,,,
easy to guess,daarcy__,"2022-06-12 14:06:07,167",124,D,1,124D1,among_us,,,,,
bait modifier,mallaris,"2022-06-12 14:06:07,246",125,D,1,125D1,among_us,,,,,
op,jasond88,"2022-06-12 14:06:07,324",126,D,1,126D1,among_us,,,,,
Thats crazy,juwi_ow,"2022-06-12 14:06:07,405",127,D,1,127D1,among_us,,,,,
sounds awesome do it,yashu_p,"2022-06-12 14:06:07,483",128,D,1,128D1,among_us,,,,,
WICKED,thetedward_,"2022-06-12 14:06:07,561",129,D,1,129D1,among_us,,,,,
make a troll one,choayeon,"2022-06-12 14:06:07,675",130,D,1,130D1,among_us,,,,,
lighter seems lit,ffraction,"2022-06-12 14:06:07,717",131,D,1,131D1,among_us,,,,,
do it,kbmasnap,"2022-06-12 14:06:07,717",132,D,1,132D1,among_us,,,,,
toastyLMAO,xnebula7,"2022-06-12 14:06:08,005",133,D,1,133D1,among_us,,,,,
Do it,adi_valvi,"2022-06-12 14:06:08,097",134,D,1,134D1,among_us,,,,,
MEME ROLE,kueeey,"2022-06-12 14:06:08,133",135,D,1,135D1,among_us,,,,,
do guardian angel,ghxstie7,"2022-06-12 14:06:08,176",136,D,1,136D1,among_us,,,,,
medium or seer,avocadooee,"2022-06-12 14:06:08,276",137,D,1,137D1,among_us,,,,,
CHAD LIGHTER,leonhnn,"2022-06-12 14:06:08,332",138,D,1,138D1,among_us,,,,,
that sounds great,shattered_lens,"2022-06-12 14:06:08,407",139,D,1,139D1,among_us,,,,,
Pog,epiknoicee,"2022-06-12 14:06:08,529",140,D,1,140D1,among_us,,,,,
WICKED,yencyholmes,"2022-06-12 14:06:08,571",141,D,1,141D1,among_us,,,,,
Thats the easiest guess,indominus316,"2022-06-12 14:06:08,853",142,D,1,142D1,among_us,,,,,
lighter POGGERS,tinybuns,"2022-06-12 14:06:09,190",143,D,1,143D1,among_us,,,,,
counters light sabo?,crimsonbirdo,"2022-06-12 14:06:09,267",144,D,1,144D1,among_us,,,,,
lighter is shit,typack13,"2022-06-12 14:06:09,307",145,D,1,145D1,among_us,,,,,
lmao lighter ftw,delthetiredgamer,"2022-06-12 14:06:09,796",146,D,1,146D1,among_us,,,,,
makes him have imposter vision,clawdew,"2022-06-12 14:06:09,834",147,D,1,147D1,among_us,,,,,
op,epiknoicee,"2022-06-12 14:06:10,154",148,D,1,148D1,among_us,,,,,
good,clutch__times,"2022-06-12 14:06:10,191",149,D,1,149D1,among_us,,,,,
Lighter or Time Master @disguisedtoast,devv09,"2022-06-12 14:06:10,314",150,D,1,150D1,among_us,,,,,
like that movie,ginvegan,"2022-06-12 14:06:10,443",151,D,1,151D1,among_us,,,,,
TOO BROKEN,lyiasenn,"2022-06-12 14:06:10,488",152,D,1,152D1,among_us,,,,,
toastySykWave toastySykWave,effizzle,"2022-06-12 14:06:10,538",153,D,1,153D1,among_us,,,,,
lolol,ell_009,"2022-06-12 14:06:10,717",154,D,1,154D1,among_us,,,,,
LIGHTER TOO GOOD,randomjayyy,"2022-06-12 14:06:10,906",155,D,1,155D1,among_us,,,,,
HELL YEAH KEKW,alamk1,"2022-06-12 14:06:11,590",156,D,1,156D1,among_us,,,,,
LOLLL,xojessxo33,"2022-06-12 14:06:11,739",157,D,1,157D1,among_us,,,,,
Snitch!!,exonctzen,"2022-06-12 14:06:11,856",158,D,1,158D1,among_us,,,,,
Kinda op tho,psykhoshie,"2022-06-12 14:06:11,894",159,D,1,159D1,among_us,,,,,
HYPERCLAP,zn4k3_,"2022-06-12 14:06:12,146",160,D,1,160D1,among_us,,,,,
do it,xxbrandon15,"2022-06-12 14:06:12,187",161,D,1,161D1,among_us,,,,,
if lighter has impostor vision that could be good YEAH,rowrow_,"2022-06-12 14:06:12,187",162,D,1,162D1,among_us,,,,,
What’s the vulture role?,bobacat31,"2022-06-12 14:06:12,435",163,D,1,163D1,among_us,,,,,
thats lit,kokujin1234,"2022-06-12 14:06:12,614",164,D,1,164D1,among_us,,,,,
sees when lights are out,yilingmatriarch,"2022-06-12 14:06:12,651",165,D,1,165D1,among_us,,,,,
lame,xenaisawesome,"2022-06-12 14:06:12,827",166,D,1,166D1,among_us,,,,,
Secruity guard or Portal maker,yaraz_,"2022-06-12 14:06:12,997",167,D,1,167D1,among_us,,,,,
SNITCH PLSSS,petrichorpd,"2022-06-12 14:06:13,071",168,D,1,168D1,among_us,,,,,
YES,refast,"2022-06-12 14:06:13,169",169,D,1,169D1,among_us,,,,,
!role medium,theyupmanpc,"2022-06-12 14:06:13,398",170,D,1,170D1,among_us,,,,,
LIGHTER,ladyfelle,"2022-06-12 14:06:13,712",171,D,1,171D1,among_us,,,,,
kinda funny to have a lame role,iamblackmain,"2022-06-12 14:06:13,895",172,D,1,172D1,among_us,,,,,
CHAD,zeeepyyy,"2022-06-12 14:06:13,973",173,D,1,173D1,among_us,,,,,
Lol,9_voltt,"2022-06-12 14:06:14,108",174,D,1,174D1,among_us,,,,,
detective sounds fun,rnbaran,"2022-06-12 14:06:14,238",175,D,1,175D1,among_us,,,,,
yesyes,graveyard_haunting,"2022-06-12 14:06:14,488",176,D,1,176D1,among_us,,,,,
ANY BRAINS?,vanpuldo,"2022-06-12 14:06:14,601",177,D,1,177D1,among_us,,,,,
lol even more lame than hacker,cedago,"2022-06-12 14:06:15,005",178,D,1,178D1,among_us,,,,,
LOL,19maar,"2022-06-12 14:06:15,104",179,D,1,179D1,among_us,,,,,
we appreciate the lighter,tchikuya,"2022-06-12 14:06:15,364",180,D,1,180D1,among_us,,,,,
A useless role seems right lol,monx_x,"2022-06-12 14:06:15,403",181,D,1,181D1,among_us,,,,,
LMAOOO,yencyholmes,"2022-06-12 14:06:15,802",182,D,1,182D1,among_us,,,,,
